name,ltkbid,category,dilirank,smiles
Anidulafungin,LT01203,DILI_positive,vMost-DILI-concern,CCCCCOC1=CC=C(C=C1)C2=CC=C(C=C2)C3=CC=C(C=C3)C(=O)NC4CC(C(NC(=O)C5C(C(CN5C(=O)C(NC(=O)C(NC(=O)C6CC(CN6C(=O)C(NC4=O)C(C)O)O)C(C(C7=CC=C(C=C7)O)O)O)C(C)O)C)O)O)O
Apixaban,LT02418,DILI_positive,vLess-DILI-concern,COC1=CC=C(C=C1)N2C3=C(CCN(C3=O)C4=CC=C(C=C4)N5CCCCC5=O)C(=N2)C(=O)N
Aplaviroc,LT00693,DILI_positive,vMost-DILI-concern,CCCCN1C(=O)C(NC(=O)C12CCN(CC2)CC3=CC=C(C=C3)OC4=CC=C(C=C4)C(=O)O)C(C5CCCCC5)O
Aripiprazole,LT01143,DILI_positive,vLess-DILI-concern,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
Aripiprazole lauroxil,LT03624,DILI_positive,vLess-DILI-concern,CCCCCCCCCCCC(=O)OCN1C(=O)CCC2=C1C=C(C=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
Aspirin,LT00053,DILI_positive,vLess-DILI-concern,CC(=O)OC1=CC=CC=C1C(=O)O
Atazanavir sulfate,LT01199,DILI_positive,vLess-DILI-concern,CC(C)(C)C(C(=O)NC(CC1=CC=CC=C1)C(CN(CC2=CC=C(C=C2)C3=CC=CC=N3)NC(=O)C(C(C)(C)C)NC(=O)OC)O)NC(=O)OC.OS(=O)(=O)O
Atenolol,LT00277,DILI_positive,vLess-DILI-concern,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
Atomoxetine hydrochloride,LT01139,DILI_positive,vMost-DILI-concern,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2.Cl
Atorvastatin calcium,LT00258,DILI_positive,vMost-DILI-concern,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)[O-])O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4.[Ca+2]
Auranofin,LT02166,DILI_positive,vLess-DILI-concern,CCP(CC)CC.CC(=O)OCC1C(C(C(C(O1)[S-])OC(=O)C)OC(=O)C)OC(=O)C.[Au+]
Azathioprine,LT00006,DILI_positive,vMost-DILI-concern,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-]
Azithromycin,LT00265,DILI_positive,vLess-DILI-concern,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
Baclofen,LT01113,DILI_positive,vLess-DILI-concern,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
Benazepril hydrochloride,LT01116,DILI_positive,vLess-DILI-concern,CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O.Cl
Bendazac,LT01117,DILI_positive,vMost-DILI-concern,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)OCC(=O)O
Bendroflumethiazide,LT00825,DILI_positive,vLess-DILI-concern,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2
Benoxaprofen,LT00513,DILI_positive,vMost-DILI-concern,CC(C1=CC2=C(C=C1)OC(=N2)C3=CC=C(C=C3)Cl)C(=O)O
Benzarone,LT01120,DILI_positive,vMost-DILI-concern,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC=C(C=C3)O
Benzbromarone,LT00278,DILI_positive,vMost-DILI-concern,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br
Benziodarone,LT01121,DILI_positive,vMost-DILI-concern,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)O)I
Benzonatate,LT00800,DILI_positive,vLess-DILI-concern,CCCCNC1=CC=C(C=C1)C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC
Bexarotene,LT01064,DILI_positive,vMost-DILI-concern,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C
Bicalutamide,LT00056,DILI_positive,vMost-DILI-concern,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O
Bortezomib,LT01202,DILI_positive,vMost-DILI-concern,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
Bosentan,LT01140,DILI_positive,vMost-DILI-concern,CC(C)(C)C1=CC=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=NC=CC=N3)OCCO)OC4=CC=CC=C4OC
Bosutinib monohydrate,LT02349,DILI_positive,vMost-DILI-concern,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC.O
Bromfenac sodium,LT00519,DILI_positive,vMost-DILI-concern,C1=CC(=C(C(=C1)C(=O)C2=CC=C(C=C2)Br)N)CC(=O)[O-].C1=CC(=C(C(=C1)C(=O)C2=CC=C(C=C2)Br)N)CC(=O)[O-].O.O.O.[Na+].[Na+]
Bromocriptine mesylate,LT00279,DILI_positive,vLess-DILI-concern,CC(C)CC1C(=O)N2CCCC2C3(N1C(=O)C(O3)(C(C)C)NC(=O)C4CN(C5CC6=C(NC7=CC=CC(=C67)C5=C4)Br)C)O.CS(=O)(=O)O
Bupropion hydrochloride,LT00058,DILI_positive,vLess-DILI-concern,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C.Cl
Busulfan,LT00280,DILI_positive,vMost-DILI-concern,CS(=O)(=O)OCCCCOS(=O)(=O)C
Canagliflozin,LT02899,DILI_positive,vLess-DILI-concern,CC1=C(C=C(C=C1)C2C(C(C(C(O2)CO)O)O)O)CC3=CC=C(S3)C4=CC=C(C=C4)F
Candesartan cilexetil,LT01022,DILI_positive,vLess-DILI-concern,CCOC1=NC2=CC=CC(=C2N1CC3=CC=C(C=C3)C4=CC=CC=C4C5=NNN=N5)C(=O)OC(C)OC(=O)OC6CCCCC6
Capecitabine,LT02018,DILI_positive,vLess-DILI-concern,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
Capmatinib hydrochloride,LT03646,DILI_positive,vLess-DILI-concern,CNC(=O)C1=C(C=C(C=C1)C2=NN3C(=CN=C3N=C2)CC4=CC5=C(C=C4)N=CC=C5)F.O.Cl.Cl
Captopril,LT00059,DILI_positive,vLess-DILI-concern,CC(CS)C(=O)N1CCCC1C(=O)O
Carbamazepine,LT00060,DILI_positive,vMost-DILI-concern,C1=CC=C2C(=C1)C=CC3=CC=CC=C3N2C(=O)N
Carbenicillin disodium,LT01159,DILI_positive,vLess-DILI-concern,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)C(=O)[O-])C(=O)[O-])C.[Na+].[Na+]
Carboplatin,LT00061,DILI_positive,vLess-DILI-concern,C1CC(C1)(C(=O)[O-])C(=O)[O-].N.N.[Pt+2]
Carfilzomib,LT02395,DILI_positive,vMost-DILI-concern,CC(C)CC(C(=O)C1(CO1)C)NC(=O)C(CC2=CC=CC=C2)NC(=O)C(CC(C)C)NC(=O)C(CCC3=CC=CC=C3)NC(=O)CN4CCOCC4
Carvedilol,LT00207,DILI_positive,vLess-DILI-concern,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O
Cefaclor,LT01166,DILI_positive,vLess-DILI-concern,C1C(=C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)Cl
Cefadroxil hemihydrate,LT01167,DILI_positive,vLess-DILI-concern,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O.CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O.O
Cefazolin sodium,LT01171,DILI_positive,vLess-DILI-concern,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)[O-].[Na+]
Cefdinir,LT01289,DILI_positive,vLess-DILI-concern,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NO)C3=CSC(=N3)N)SC1)C(=O)O
Cefditoren pivoxil,LT01087,DILI_positive,vLess-DILI-concern,CC1=C(SC=N1)C=CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)OCOC(=O)C(C)(C)C
Cefepime hydrochloride,LT01172,DILI_positive,vLess-DILI-concern,C[N+]1(CCCC1)CC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)O.O.Cl.[Cl-]
Cefixime,LT01173,DILI_positive,vLess-DILI-concern,C=CC1=C(N2C(C(C2=O)NC(=O)C(=NOCC(=O)O)C3=CSC(=N3)N)SC1)C(=O)O
Cefoperazone sodium,LT01176,DILI_positive,vLess-DILI-concern,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=C(C=C2)O)C(=O)NC3C4N(C3=O)C(=C(CS4)CSC5=NN=NN5C)C(=O)[O-].[Na+]
Cefotaxime sodium,LT01177,DILI_positive,vLess-DILI-concern,CC(=O)OCC1=C(N2C(C(C2=O)NC(=O)C(=NOC)C3=CSC(=N3)N)SC1)C(=O)[O-].[Na+]
Cefprozil,LT01182,DILI_positive,vLess-DILI-concern,CC=CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O
Ceftaroline fosamil,LT02387,DILI_positive,vLess-DILI-concern,CCON=C(C1=NSC(=N1)NP(=O)(O)O)C(=O)NC2C3N(C2=O)C(=C(CS3)SC4=NC(=CS4)C5=CC=[N+](C=C5)C)C(=O)[O-]
Ceftazidime,LT00062,DILI_positive,vLess-DILI-concern,CC(C)(C(=O)O)ON=C(C1=CSC(=N1)N)C(=O)NC2C3N(C2=O)C(=C(CS3)C[N+]4=CC=CC=C4)C(=O)[O-]
Ceftriaxone sodium,LT01185,DILI_positive,vLess-DILI-concern,CN1C(=NC(=O)C(=O)[N-]1)SCC2=C(N3C(C(C3=O)NC(=O)C(=NOC)C4=CSC(=N4)N)SC2)C(=O)[O-].[Na+].[Na+]
Cefuroxime sodium,LT01186,DILI_positive,vLess-DILI-concern,CON=C(C1=CC=CO1)C(=O)NC2C3N(C2=O)C(=C(CS3)COC(=O)N)C(=O)[O-].[Na+]
Celecoxib,LT00252,DILI_positive,vLess-DILI-concern,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
Cephalexin,LT01189,DILI_positive,vLess-DILI-concern,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=CC=C3)N)SC1)C(=O)O
Ceritinib,LT03596,DILI_positive,vMost-DILI-concern,CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl
Cetirizine hydrochloride,LT01190,DILI_positive,vLess-DILI-concern,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl.Cl
Chlorambucil,LT00286,DILI_positive,vLess-DILI-concern,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl
Chlorcyclizine hydrochloride,LT00066,DILI_positive,vLess-DILI-concern,CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl.Cl
Chlordiazepoxide hydrochloride,LT01198,DILI_positive,vLess-DILI-concern,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O.Cl
Chlormezanone,LT01201,DILI_positive,vMost-DILI-concern,CN1C(S(=O)(=O)CCC1=O)C2=CC=C(C=C2)Cl
Chloroquine phosphate,LT01207,DILI_positive,vLess-DILI-concern,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl.OP(=O)(O)O.OP(=O)(O)O
Chlorothiazide,LT01208,DILI_positive,vLess-DILI-concern,C1=C2C(=CC(=C1Cl)S(=O)(=O)N)S(=O)(=O)N=CN2
Chlorpromazine hydrochloride,LT00068,DILI_positive,vLess-DILI-concern,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl.Cl
Chlorpropamide,LT00379,DILI_positive,vLess-DILI-concern,CCCNC(=O)NS(=O)(=O)C1=CC=C(C=C1)Cl
Chlorzoxazone,LT00067,DILI_positive,vMost-DILI-concern,C1=CC2=C(C=C1Cl)NC(=O)O2
Cimetidine,LT01218,DILI_positive,vLess-DILI-concern,CC1=C(N=CN1)CSCCNC(=NC)NC#N
Cinchophen,LT01219,DILI_positive,vMost-DILI-concern,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O
Ciprofloxacin hydrochloride,LT00178,DILI_positive,vMost-DILI-concern,C1CC1N2C=C(C(=O)C3=CC(=C(C=C32)N4CCNCC4)F)C(=O)O.O.Cl
Cisplatin,LT00071,DILI_positive,vLess-DILI-concern,N.N.Cl[Pt]Cl
Citalopram hydrobromide,LT00219,DILI_positive,vLess-DILI-concern,CN(C)CCCC1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F.Br
Cladribine,LT01224,DILI_positive,vLess-DILI-concern,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
Clarithromycin,LT00187,DILI_positive,vMost-DILI-concern,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)OC)C)C)O)(C)O
Clindamycin hydrochloride,LT01225,DILI_positive,vLess-DILI-concern,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)Cl.Cl
Clindamycin phosphate,LT02346,DILI_positive,vLess-DILI-concern,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)OP(=O)(O)O)O)O)C(C)Cl
Clofibrate,LT00011,DILI_positive,vLess-DILI-concern,CCOC(=O)C(C)(C)OC1=CC=C(C=C1)Cl
Clomacran,LT00694,DILI_positive,vMost-DILI-concern,CN(C)CCCC1C2=CC=CC=C2NC3=C1C=C(C=C3)Cl
Clometacin,LT01228,DILI_positive,vMost-DILI-concern,CC1=C(C2=C(N1CC(=O)O)C=C(C=C2)OC)C(=O)C3=CC=C(C=C3)Cl
Clomiphene citrate,LT00233,DILI_positive,vLess-DILI-concern,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
Clomipramine hydrochloride,LT00185,DILI_positive,vMost-DILI-concern,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl.Cl
Clonazepam,LT00532,DILI_positive,vLess-DILI-concern,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
Clopidogrel bisulfate,LT01023,DILI_positive,vLess-DILI-concern,COC(=O)C(C1=CC=CC=C1Cl)N2CCC3=C(C2)C=CS3.OS(=O)(=O)O
Clotrimazole,LT00248,DILI_positive,vLess-DILI-concern,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
Cloxacillin sodium,LT01235,DILI_positive,vLess-DILI-concern,CC1=C(C(=NO1)C2=CC=CC=C2Cl)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)[O-].[Na+]
Clozapine,LT00287,DILI_positive,vMost-DILI-concern,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42
Colestipol hydrochloride,LT00881,DILI_positive,vLess-DILI-concern,C(CNCCNCCNCCN)N.Cl
Crizotinib,LT02436,DILI_positive,vMost-DILI-concern,CC(C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N
Cromoglicate,LT02004,DILI_positive,vLess-DILI-concern,C1=CC2=C(C(=C1)OCC(COC3=CC=CC4=C3C(=O)C=C(O4)C(=O)O)O)C(=O)C=C(O2)C(=O)O
Cyclobenzaprine hydrochloride,LT01249,DILI_positive,vLess-DILI-concern,CN(C)CCC=C1C2=CC=CC=C2C=CC3=CC=CC=C31.Cl
Cyclofenil,LT01250,DILI_positive,vMost-DILI-concern,CC(=O)OC1=CC=C(C=C1)C(=C2CCCCC2)C3=CC=C(C=C3)OC(=O)C
Cyclophosphamide,LT00013,DILI_positive,vLess-DILI-concern,C1CNP(=O)(OC1)N(CCCl)CCCl
Cyclosporine,LT00380,DILI_positive,vMost-DILI-concern,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
Cyproheptadine hydrochloride,LT01255,DILI_positive,vLess-DILI-concern,CN1CCC(=C2C3=CC=CC=C3C=CC4=CC=CC=C42)CC1.Cl
Cytarabine,LT00209,DILI_positive,vMost-DILI-concern,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
Dabigatran etexilate mesylate,LT02345,DILI_positive,vLess-DILI-concern,CCCCCCOC(=O)NC(=N)C1=CC=C(C=C1)NCC2=NC3=C(N2C)C=CC(=C3)C(=O)N(CCC(=O)OCC)C4=CC=CC=N4.CS(=O)(=O)O
Dacarbazine,LT00288,DILI_positive,vMost-DILI-concern,CN(C)N=NC1=C(NC=N1)C(=O)N
Dacomitinib,LT03652,DILI_positive,vLess-DILI-concern,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)C=CCN4CCCCC4
Dactinomycin,LT00079,DILI_positive,vMost-DILI-concern,CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C
Dalteparin sodium,LT00961,DILI_positive,vLess-DILI-concern,C1N(CN(CN1CCO)CC[O-])CCO.[Na+]
Danazol,LT00539,DILI_positive,vMost-DILI-concern,CC12CCC3C(C1CCC2(C#C)O)CCC4=CC5=C(CC34C)C=NO5
Dantrolene sodium,LT00080,DILI_positive,vMost-DILI-concern,C1C(=NC(=O)N1N=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])[O-].[Na+]
Dapsone,LT00289,DILI_positive,vLess-DILI-concern,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
Daptomycin,LT01200,DILI_positive,vLess-DILI-concern,CCCCCCCCCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC3C(OC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC3=O)CCCN)CC(=O)O)C)CC(=O)O)CO)C(C)CC(=O)O)CC(=O)C4=CC=CC=C4N)C
Darunavir,LT01243,DILI_positive,vMost-DILI-concern,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2COC3C2CCO3)O)S(=O)(=O)C4=CC=C(C=C4)N
Dasatinib,LT01248,DILI_positive,vLess-DILI-concern,CC1=C(C(=CC=C1)Cl)NC(=O)C2=CN=C(S2)NC3=CC(=NC(=N3)C)N4CCN(CC4)CCO
Deferasirox,LT00563,DILI_positive,vMost-DILI-concern,C1=CC=C(C(=C1)C2=NN(C(=N2)C3=CC=CC=C3O)C4=CC=C(C=C4)C(=O)O)O
Deferoxamine mesylate,LT00386,DILI_positive,vLess-DILI-concern,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O.CS(=O)(=O)O
Desloratadine,LT01085,DILI_positive,vLess-DILI-concern,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4
Desvenlafaxine succinate,LT00573,DILI_positive,vLess-DILI-concern,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O.C(CC(=O)O)C(=O)O.O
Dexlansoprazole,LT01266,DILI_positive,vLess-DILI-concern,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
Dexmethylphenidate hydrochloride,LT02909,DILI_positive,vLess-DILI-concern,COC(=O)C(C1CCCCN1)C2=CC=CC=C2.Cl
Diazepam,LT00230,DILI_positive,vLess-DILI-concern,CN1C(=O)CN=C(C2=C1C=CC(=C2)Cl)C3=CC=CC=C3
